Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,disloyal Customer,27,Business travel,Business,534,1,1,1,1,1,1,1,1,5,3,4,4,5,1,55,54.0,neutral or dissatisfied
Male,Loyal Customer,52,Personal Travel,Eco Plus,1744,2,4,2,4,3,2,3,3,5,5,5,4,5,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,26,Business travel,Eco,2409,3,3,3,4,2,3,4,2,4,3,4,1,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,61,Business travel,Business,3861,3,3,3,3,5,2,5,5,5,5,5,1,5,4,42,45.0,satisfied
Female,Loyal Customer,56,Personal Travel,Eco,795,3,5,3,3,4,4,4,2,2,3,2,5,2,3,19,2.0,neutral or dissatisfied
Male,Loyal Customer,31,Business travel,Business,1879,1,1,1,1,5,5,5,5,3,4,4,3,4,5,37,33.0,satisfied
Female,Loyal Customer,22,Business travel,Eco,1276,4,4,4,4,4,4,2,4,1,2,3,3,4,4,29,5.0,neutral or dissatisfied
Male,Loyal Customer,20,Personal Travel,Eco,446,4,3,4,3,1,4,1,1,3,4,4,2,4,1,0,0.0,neutral or dissatisfied
Male,disloyal Customer,80,Business travel,Eco,325,2,0,2,4,5,2,5,5,1,2,5,5,4,5,0,0.0,neutral or dissatisfied
Male,disloyal Customer,30,Business travel,Eco Plus,967,4,4,4,4,3,4,3,3,2,2,3,4,4,3,1,0.0,neutral or dissatisfied
Female,Loyal Customer,41,Business travel,Eco,241,2,4,5,4,3,2,3,3,4,5,1,2,1,3,0,3.0,neutral or dissatisfied
Male,Loyal Customer,22,Personal Travel,Eco,600,4,2,4,3,2,4,2,2,2,3,3,3,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,1514,4,2,4,4,4,4,4,5,5,5,5,4,5,3,0,4.0,satisfied
Female,Loyal Customer,44,Business travel,Business,378,3,3,3,3,2,5,1,4,4,4,4,2,4,4,0,0.0,satisfied
Female,disloyal Customer,33,Business travel,Business,4963,2,2,2,1,2,3,3,3,4,5,5,3,4,3,75,171.0,neutral or dissatisfied
Female,disloyal Customer,21,Business travel,Eco,542,3,4,4,4,4,4,4,4,1,4,3,2,4,4,117,114.0,neutral or dissatisfied
Female,Loyal Customer,61,Business travel,Business,3725,2,2,2,2,4,5,4,5,5,4,5,5,5,4,2,14.0,satisfied
Female,Loyal Customer,44,Personal Travel,Eco,227,2,4,2,1,5,5,3,4,4,2,4,1,4,5,19,24.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,1586,5,5,5,5,2,5,4,4,4,5,4,4,4,3,25,28.0,satisfied
Male,disloyal Customer,37,Business travel,Business,224,3,3,3,2,3,3,1,3,1,3,3,1,2,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,54,Personal Travel,Business,495,3,4,3,4,5,2,1,5,5,3,5,3,5,2,8,10.0,neutral or dissatisfied
Female,Loyal Customer,19,Business travel,Eco Plus,2378,5,4,4,4,5,5,4,5,4,1,4,2,1,5,0,0.0,satisfied
Female,Loyal Customer,64,Personal Travel,Eco,541,3,4,3,4,4,5,5,4,4,3,4,3,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,17,Business travel,Eco Plus,630,5,3,3,3,5,5,4,5,3,4,1,5,5,5,0,1.0,satisfied
Male,disloyal Customer,32,Business travel,Business,541,3,3,3,3,3,3,1,3,4,2,5,4,4,3,0,3.0,neutral or dissatisfied
Male,disloyal Customer,26,Business travel,Business,628,5,4,4,3,2,4,1,2,3,5,4,4,5,2,102,102.0,satisfied
Female,Loyal Customer,60,Personal Travel,Eco,628,2,5,2,4,3,5,4,3,3,2,3,5,3,4,7,6.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,3747,1,1,1,1,5,5,5,5,3,5,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,44,Business travel,Business,460,2,2,2,2,5,4,4,5,5,5,5,3,5,3,0,0.0,satisfied
Male,disloyal Customer,20,Business travel,Eco,226,1,3,1,3,1,1,1,1,4,2,4,1,4,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,29,Business travel,Eco Plus,475,4,4,4,4,4,4,4,4,2,1,4,3,5,4,3,0.0,satisfied
Female,disloyal Customer,11,Business travel,Eco,746,5,5,5,2,4,5,4,4,5,2,5,5,4,4,1,1.0,satisfied
Male,Loyal Customer,37,Business travel,Business,101,4,4,4,4,2,4,4,5,5,5,3,3,5,5,0,0.0,satisfied
Female,Loyal Customer,37,Business travel,Business,193,1,2,2,2,3,3,3,4,4,4,1,2,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,69,Personal Travel,Eco,700,1,5,1,5,2,4,4,3,3,1,3,3,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Personal Travel,Eco,305,3,5,3,5,2,3,2,2,3,4,5,4,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco Plus,321,4,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70.0,neutral or dissatisfied
Male,Loyal Customer,15,Personal Travel,Eco,534,3,4,3,4,2,3,3,2,3,5,5,3,4,2,18,47.0,neutral or dissatisfied
Male,Loyal Customer,37,Business travel,Business,2907,3,1,1,1,1,3,3,3,3,3,3,2,3,1,3,0.0,neutral or dissatisfied
Female,Loyal Customer,66,Business travel,Eco,142,4,4,4,4,1,5,2,4,4,4,4,4,4,3,33,49.0,satisfied
Male,Loyal Customer,49,Business travel,Business,331,0,0,0,1,2,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,57,Business travel,Eco Plus,808,1,2,2,2,1,1,1,1,1,4,2,3,2,1,0,0.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Eco,236,2,0,2,4,4,2,4,4,3,3,4,2,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Business,1747,3,3,3,3,5,3,5,4,4,4,4,3,4,5,2,0.0,satisfied
Female,Loyal Customer,54,Business travel,Business,224,2,3,3,3,2,2,2,3,4,2,3,2,2,2,65,154.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Eco,1012,3,1,1,1,2,4,4,3,3,3,3,1,3,4,128,121.0,neutral or dissatisfied
Female,Loyal Customer,7,Personal Travel,Eco Plus,728,4,3,4,5,3,4,3,3,4,4,3,5,3,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,978,3,4,2,4,1,2,1,1,3,3,5,4,4,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,18,Business travel,Eco Plus,1225,5,0,5,5,2,5,2,2,1,1,2,2,5,2,0,5.0,satisfied
Male,Loyal Customer,33,Personal Travel,Eco,283,4,5,2,3,1,2,1,1,5,4,4,5,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,16,Personal Travel,Eco,667,5,5,5,5,2,5,2,2,4,4,4,3,5,2,0,0.0,satisfied
Male,Loyal Customer,54,Personal Travel,Business,1237,2,4,2,4,2,4,4,3,3,2,3,5,3,3,43,16.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,1571,2,2,2,2,4,4,5,5,5,4,5,4,5,5,16,0.0,satisfied
Male,Loyal Customer,29,Personal Travel,Eco,759,1,5,1,3,2,1,2,2,5,2,4,3,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,59,Business travel,Business,1896,4,4,4,4,5,5,4,4,4,4,4,4,4,4,0,0.0,satisfied
Female,Loyal Customer,27,Personal Travel,Eco,259,1,5,0,3,3,0,3,3,2,2,1,5,5,3,2,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Eco Plus,696,1,5,5,5,1,1,1,1,3,1,3,2,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,Personal Travel,Eco,296,3,4,3,3,2,3,2,2,4,2,5,5,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,69,Personal Travel,Eco,598,2,0,2,2,1,2,1,1,3,4,4,4,5,1,0,2.0,neutral or dissatisfied
Female,Loyal Customer,52,Business travel,Business,1965,1,1,1,1,3,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
Female,Loyal Customer,8,Personal Travel,Eco,1208,4,2,4,4,2,4,2,2,4,1,3,2,4,2,10,0.0,neutral or dissatisfied
Female,disloyal Customer,28,Business travel,Business,874,5,5,5,5,3,5,3,3,4,4,5,5,5,3,1,0.0,satisfied
Male,disloyal Customer,27,Business travel,Business,1235,2,3,3,3,5,3,5,5,3,3,5,4,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,51,Personal Travel,Eco,1005,2,4,2,3,5,4,4,2,2,2,2,3,2,4,6,21.0,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,2504,4,4,4,4,3,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
Female,Loyal Customer,45,Business travel,Business,1559,2,2,2,2,3,2,2,4,4,4,4,2,4,1,0,0.0,satisfied
Male,disloyal Customer,27,Business travel,Eco,337,3,4,3,3,5,3,5,5,2,4,4,2,4,5,10,5.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,160,1,1,1,1,4,5,3,4,4,4,5,3,4,5,0,0.0,satisfied
Female,Loyal Customer,36,Business travel,Business,373,5,5,5,5,1,1,5,4,4,4,4,4,4,3,25,24.0,satisfied
Female,Loyal Customer,31,Personal Travel,Eco,409,3,5,3,2,3,3,3,3,3,4,5,3,4,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Eco,491,4,0,4,3,1,4,1,1,3,5,5,2,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,Business travel,Eco,259,1,4,3,4,1,1,1,1,1,2,3,2,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Business travel,Eco,406,1,4,4,4,1,1,4,1,1,1,3,4,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,14,Personal Travel,Eco,1670,1,5,1,3,2,1,2,2,5,1,5,1,4,2,0,3.0,neutral or dissatisfied
Female,Loyal Customer,45,Business travel,Business,2236,2,1,1,1,5,2,3,2,2,2,2,2,2,2,84,0.0,neutral or dissatisfied
Female,Loyal Customer,60,Personal Travel,Eco,632,1,3,1,3,2,4,3,4,4,1,4,4,4,2,73,85.0,neutral or dissatisfied
Male,Loyal Customer,23,Business travel,Business,2793,2,2,2,2,4,4,4,4,4,4,5,3,5,4,0,0.0,satisfied
Male,disloyal Customer,34,Business travel,Business,861,1,0,0,3,1,0,1,1,4,3,5,4,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,60,Business travel,Business,2704,3,3,3,3,3,3,4,4,4,4,4,5,4,5,0,0.0,satisfied
Female,disloyal Customer,24,Business travel,Eco,310,1,3,1,3,5,1,5,5,4,5,4,3,3,5,0,10.0,neutral or dissatisfied
Female,Loyal Customer,25,Personal Travel,Eco Plus,125,1,3,0,2,2,0,2,2,5,1,2,2,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,37,Business travel,Business,946,1,1,1,1,4,5,4,5,5,5,5,5,5,4,12,13.0,satisfied
Female,Loyal Customer,34,Business travel,Business,2355,2,2,2,2,4,2,4,2,2,2,2,1,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,56,Personal Travel,Eco,1014,2,2,2,3,2,2,2,2,4,3,4,1,3,2,25,9.0,neutral or dissatisfied
Female,Loyal Customer,46,Personal Travel,Eco,2442,2,2,2,3,4,3,2,2,2,2,2,2,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Business,181,3,3,5,3,3,5,4,5,5,5,4,5,5,5,0,9.0,satisfied
Female,Loyal Customer,70,Personal Travel,Eco Plus,842,2,5,2,2,2,5,5,5,5,2,5,3,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Eco,2409,4,3,3,3,5,3,2,3,3,4,3,5,3,5,5,1.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,2296,3,4,3,3,3,5,5,4,2,4,4,5,5,5,0,9.0,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Business,599,2,3,3,5,4,3,4,4,4,2,2,3,3,4,35,26.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,599,3,3,3,3,4,5,1,5,5,5,5,1,5,4,25,26.0,satisfied
Female,Loyal Customer,58,Personal Travel,Eco,551,1,5,1,1,5,3,3,4,4,1,4,4,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Eco,508,5,2,2,2,5,5,5,5,3,1,5,1,3,5,7,0.0,satisfied
Female,Loyal Customer,41,Business travel,Business,3646,5,5,5,5,5,5,4,2,2,2,2,4,2,3,0,0.0,satisfied
Female,Loyal Customer,53,Personal Travel,Eco,413,3,5,3,4,5,5,5,5,5,3,5,3,5,5,9,11.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,3049,5,5,4,5,3,4,5,5,5,5,5,4,5,5,0,23.0,satisfied
Female,Loyal Customer,50,Business travel,Business,1635,4,4,4,4,4,3,4,5,5,5,5,4,5,4,5,0.0,satisfied
Female,disloyal Customer,58,Business travel,Eco,369,3,0,3,2,4,3,2,4,3,1,4,2,5,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,Business travel,Business,1144,2,0,2,3,1,2,1,1,3,5,5,4,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,16,Business travel,Business,3672,3,5,5,5,3,3,3,3,2,1,4,1,3,3,44,40.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,2617,3,4,2,4,4,3,2,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,17,Business travel,Eco Plus,928,3,2,3,4,2,3,2,2,4,5,3,3,3,2,7,14.0,neutral or dissatisfied
Male,Loyal Customer,46,Business travel,Business,3966,3,3,3,3,3,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
Male,Loyal Customer,63,Personal Travel,Eco,1846,1,3,2,3,4,2,4,4,4,4,4,3,4,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,31,Business travel,Business,3949,2,2,4,2,5,5,4,5,2,2,3,3,4,5,0,0.0,satisfied
Male,disloyal Customer,25,Business travel,Eco,649,1,4,2,4,3,2,2,3,2,4,4,4,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,22,Business travel,Eco,954,3,2,2,2,3,4,4,3,5,4,5,2,2,3,0,0.0,satisfied
Female,Loyal Customer,59,Personal Travel,Eco,321,3,2,3,4,4,4,4,1,1,3,1,1,1,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,56,Personal Travel,Eco,236,3,3,3,3,5,2,5,4,4,3,4,1,4,5,57,52.0,neutral or dissatisfied
Male,Loyal Customer,40,Business travel,Business,3013,3,3,3,3,5,5,5,4,4,4,4,3,4,4,0,0.0,satisfied
Male,Loyal Customer,59,Personal Travel,Eco,533,3,2,3,3,3,4,4,2,1,3,2,4,1,4,256,242.0,neutral or dissatisfied
Male,Loyal Customer,22,Business travel,Business,1887,2,3,4,3,2,3,2,2,1,5,4,2,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,44,Business travel,Eco,797,4,1,1,1,4,4,3,4,4,4,4,2,4,2,12,3.0,satisfied
Female,disloyal Customer,46,Business travel,Business,391,4,4,4,2,5,4,5,5,5,3,4,5,4,5,3,0.0,satisfied
Female,Loyal Customer,30,Business travel,Business,1699,3,3,3,3,3,3,3,3,4,4,3,2,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,70,Personal Travel,Business,354,2,4,2,3,3,4,4,4,4,2,5,5,4,5,16,22.0,neutral or dissatisfied
Female,Loyal Customer,62,Personal Travel,Eco Plus,123,2,4,2,4,1,1,5,5,5,2,5,1,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,2785,2,5,5,5,5,4,3,2,2,2,2,1,2,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,45,Business travel,Business,1452,2,2,2,4,4,2,4,4,4,3,4,3,5,4,13,0.0,neutral or dissatisfied
Male,Loyal Customer,9,Personal Travel,Eco,2475,2,5,2,3,2,3,3,3,4,4,4,3,5,3,1,2.0,neutral or dissatisfied
Male,Loyal Customer,39,Business travel,Business,3061,1,1,1,1,4,5,5,4,4,4,4,3,4,3,33,24.0,satisfied
Female,Loyal Customer,48,Business travel,Business,2723,1,1,1,1,4,5,4,4,4,4,4,4,4,5,23,18.0,satisfied
Female,Loyal Customer,60,Business travel,Business,1750,4,4,4,4,3,5,4,3,3,3,3,3,3,4,27,29.0,satisfied
Female,disloyal Customer,21,Business travel,Business,332,4,0,4,5,1,4,1,1,5,5,5,3,4,1,0,0.0,satisfied
Male,Loyal Customer,31,Business travel,Business,2402,5,5,5,5,5,5,5,5,4,4,3,5,4,5,0,0.0,satisfied
Female,Loyal Customer,65,Business travel,Business,2650,2,2,2,2,4,4,4,3,3,3,2,3,3,3,9,19.0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Eco,197,3,3,3,4,5,3,5,5,4,4,3,1,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Business,1842,2,3,2,3,1,1,2,2,2,2,2,2,2,2,0,1.0,neutral or dissatisfied
Female,Loyal Customer,58,Business travel,Business,1357,3,3,3,3,3,5,4,3,3,3,3,4,3,4,7,4.0,satisfied
Male,Loyal Customer,31,Personal Travel,Eco,227,2,3,2,3,1,2,1,1,4,1,3,1,4,1,3,2.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,251,2,2,2,2,2,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
Female,disloyal Customer,23,Business travel,Eco,337,2,0,2,3,5,2,3,5,4,3,5,3,5,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,26,Business travel,Business,1968,3,3,3,3,4,4,4,4,3,2,4,3,4,4,0,0.0,satisfied
Male,Loyal Customer,50,Business travel,Business,2417,3,3,3,3,2,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
Male,disloyal Customer,36,Business travel,Eco,609,3,0,3,2,2,3,2,2,5,2,4,3,2,2,0,3.0,neutral or dissatisfied
Female,Loyal Customer,39,Business travel,Business,1609,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
Male,Loyal Customer,60,Business travel,Eco,641,4,5,5,5,4,4,4,4,1,5,1,3,3,4,5,14.0,satisfied
Female,disloyal Customer,65,Business travel,Eco,320,2,2,2,3,1,2,1,1,4,5,3,3,3,1,5,11.0,neutral or dissatisfied
Female,Loyal Customer,47,Business travel,Business,3184,2,1,1,1,1,3,3,2,2,2,2,1,2,3,34,49.0,neutral or dissatisfied
Female,Loyal Customer,63,Personal Travel,Business,1431,3,1,3,4,4,3,3,5,5,3,5,2,5,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Eco,266,1,1,1,1,5,3,3,1,1,1,1,1,1,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,52,Business travel,Business,1846,4,4,4,4,4,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
